customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00001,Male,1,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Bank transfer,94.48,1492.3,Yes
CUST_00002,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,Yes,Yes,Two year,No,Electronic check,85.33,4891.31,No
CUST_00003,Male,0,Yes,Yes,57,Yes,Yes,DSL,No,No,No,No,Month-to-month,No,Electronic check,58.59,3328.28,No
CUST_00004,Male,1,Yes,No,56,No,No phone service,Fiber optic,Yes,Yes,No,No,Month-to-month,No,Bank transfer,70.93,3984.73,Yes
CUST_00005,Male,0,No,No,6,Yes,Yes,DSL,No,No,No,No,One year,Yes,Credit card,65.59,377.52,No
CUST_00006,Female,0,No,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Two year,Yes,Credit card,80.82,3101.12,No
CUST_00007,Male,1,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.67,2041.83,Yes
CUST_00008,Male,0,Yes,No,55,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.65,4928.7,No
CUST_00009,Male,1,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,31.61,442.02,Yes
CUST_00010,Female,1,No,No,43,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.55,3820.16,No
CUST_00011,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,31.4,344.29,No
CUST_00012,Male,1,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,One year,No,Electronic check,90.2,598.38,No
CUST_00013,Male,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,94.0,3749.82,No
