customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Churn_Predicted,Churn_Risk_Level,Expected_Annual_Revenue,Expected_Revenue_Loss
CUST_04598,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,99.12,591.76,Yes,0.5109530803436574,Yes,Medium,1189.44,607.7480318839598
CUST_03407,Female,0,No,No,22,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,104.99,2286.33,Yes,0.47063848632420485,No,Medium,1259.8799999999999,592.9480161501392
CUST_02870,Male,0,No,No,18,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,103.27,1833.55,Yes,0.46202517695377343,No,Medium,1239.24,572.5600802881942
CUST_03033,Male,0,No,No,7,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,96.97,684.24,Yes,0.48437879588830235,No,Medium,1163.6399999999999,563.6425420474641
CUST_01898,Male,0,No,Yes,16,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,101.49,1636.78,Yes,0.46124312137912,No,Medium,1217.8799999999999,561.7387726652026
CUST_01341,Male,0,No,Yes,16,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.93,1528.02,No,0.49290542786536035,No,Medium,1139.16,561.4981472071039
CUST_04527,Male,0,No,No,16,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.71,1549.62,No,0.47274913300868865,No,Medium,1184.52,559.9808030314518
CUST_02633,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Electronic check,96.44,778.71,No,0.4829145715732416,No,Medium,1157.28,558.867375390281
CUST_03018,Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,97.92,870.41,No,0.4755556655360104,No,Medium,1175.04,558.7969292314336
CUST_00086,Male,0,No,Yes,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.86,12.82,Yes,0.48924206538892245,No,Medium,1138.32,556.9140278735182
CUST_00325,Female,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,96.34,11.07,No,0.48059929893510855,No,Medium,1156.08,555.6112375129003
CUST_02096,Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.89,835.93,No,0.4511843933634219,No,Medium,1222.68,551.6541340775888
CUST_00349,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.95,91.41,No,0.48179531364924144,No,Medium,1139.4,548.9575803719457
CUST_00385,Male,0,Yes,Yes,15,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Bank transfer,100.25,1496.24,Yes,0.4548084608281684,No,Medium,1203.0,547.1345783762865
CUST_02692,Male,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Credit card,99.78,375.48,No,0.45572221982951183,No,Medium,1197.3600000000001,545.6635571350644
CUST_04600,Male,1,No,Yes,6,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,100.27,605.13,Yes,0.452870543677119,No,Medium,1203.24,544.9119529740567
CUST_02343,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,98.77,287.9,Yes,0.4567171688657321,No,Medium,1185.24,541.3194572264204
CUST_00019,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,100.24,392.32,Yes,0.4496870604914389,No,Medium,1202.8799999999999,540.919571323942
CUST_03270,Female,1,No,Yes,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,96.99,169.68,Yes,0.462040565179209,No,Medium,1163.8799999999999,537.7597730007777
CUST_02232,Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,96.52,686.35,Yes,0.4633969061612082,No,Medium,1158.24,536.7248325921578
CUST_00510,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,96.94,297.82,No,0.45811013656367117,No,Medium,1163.28,532.9103596617874
CUST_00913,Male,0,Yes,Yes,9,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.2,842.96,No,0.47643450528769793,No,Medium,1118.4,532.8443507137614
CUST_01039,Male,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.85,1494.85,Yes,0.4706301937156665,No,Medium,1126.1999999999998,530.0237241625836
CUST_00771,Male,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.64,22.1,No,0.48437819823885514,No,Medium,1087.68,526.848478660438
CUST_01418,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,97.41,486.02,Yes,0.4506061267148348,No,Medium,1168.92,526.7225136395048
CUST_01030,Male,0,No,Yes,3,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.92,293.07,No,0.48195160724915004,No,Medium,1091.04,525.8284815731126
CUST_02863,Male,0,No,Yes,54,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.79,5456.38,No,0.4300924379813151,No,Medium,1221.48,525.3493111454168
CUST_01123,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.31,288.83,No,0.4640317005042199,No,Medium,1131.72,525.1539560946358
CUST_01798,Female,0,No,Yes,17,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,92.84,1584.03,No,0.47092712889989435,No,Medium,1114.08,524.6504957647943
CUST_03134,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,96.98,859.3,No,0.4502817181825826,No,Medium,1163.76,524.0198523521624
CUST_00716,Female,0,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,98.2,683.81,No,0.4443331554734456,No,Medium,1178.4,523.6021904099083
CUST_01448,Female,0,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.64,698.88,Yes,0.46054761242658,No,Medium,1135.68,523.0347124806184
CUST_04345,Male,1,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,103.08,1744.85,No,0.42264547341960285,No,Medium,1236.96,522.795544801112
CUST_04414,Female,0,No,Yes,28,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.16,2614.2,No,0.4624124811660137,No,Medium,1129.92,522.4891107191022
CUST_02530,Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,98.84,1271.33,No,0.44029100297614254,No,Medium,1186.08,522.2203528099432
CUST_03135,Female,0,Yes,No,21,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,100.56,2074.19,No,0.43184162837081114,No,Medium,1206.72,521.1119297876252
CUST_03489,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,97.11,250.61,No,0.4470395362518165,No,Medium,1165.32,520.9441123849668
CUST_00488,Female,0,No,Yes,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,92.74,0.0,Yes,0.4664936481275892,No,Medium,1112.8799999999999,519.1514511282314
CUST_03437,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,95.62,962.0,Yes,0.45135116536058634,No,Medium,1147.44,517.8983811813512
CUST_03112,Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Mailed check,94.65,678.83,Yes,0.4549721615934079,No,Medium,1135.8000000000002,516.7573811377928
CUST_04695,Female,1,Yes,Yes,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,102.42,1413.54,No,0.42020549238289057,No,Medium,1229.04,516.4493583582678
CUST_01192,Male,0,No,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,88.35,203.27,Yes,0.48418708082103046,No,Medium,1060.1999999999998,513.3351430864564
CUST_03985,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,105.64,2315.78,Yes,0.40461937042850515,No,Medium,1267.68,512.9278835048075
CUST_02799,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.59,273.56,Yes,0.4655150616914487,No,Medium,1099.08,511.63829400383736
CUST_03970,Female,0,No,Yes,26,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,99.76,2597.93,No,0.42722384657818485,No,Medium,1197.1200000000001,511.4382112156767
CUST_01639,Male,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,93.86,1317.22,Yes,0.45406725835093364,No,Medium,1126.32,511.4250344258235
